# mode_id,mode_name,sign,element,semitone_pattern,planetary_rulers,archetype,emotional_color,sonic_role,timbres,waveform,parent_quadratonic,daw_use,ritual_use,canon_version
PENT-ARIES-1,Pyra-Crus,Aries,Fire,2-2-3-2-3,Mars,The First Spark,"Fierce courage, decisive will","Initiatory motifs, call-signs, opening themes",Brass stabs; distorted plucks; aggressive synth leads,Saw,Thaptic,"Stabs, rhythmic hooks, intro riffs","Starting projects; breaking paralysis; invoking bravery",1.0
PENT-LEO-1,Pyra-Solis,Leo,Fire,2-3-2-2-3,Sun,The Radiant,"Confidence, pride, heart-forward warmth","Lead melodies, anthemic refrains, spotlight lines",Golden pads; bright saw leads; expressive guitars,Saw,Thaptic,"Lead synths, brass leads, big melodic hooks","Reclaiming personal power, visibility, self-celebration",1.0
PENT-SAG-1,Pyra-Astra,Sagittarius,Fire,2-2-2-3-3,Jupiter,The Explorer,"Wonder, adventure, philosophical optimism","Travel themes, journey motifs, horizon-expanding arcs",Wide pads; bells; soaring leads; atmospheric textures,Saw,Stathic,"Cinematic travel cues, open-chord progressions","Seeking insight, vision quests, studying, exploration",1.0
PENT-TAURUS-1,Terra-Gra,Taurus,Earth,2-3-2-3-2,Venus,The Sustainer,"Peace, sensual comfort, grounded pleasure","Lush harmonic beds, slow melodies, holding patterns",Warm electric piano; soft strings; mellow flutes,Square,Dalic,"Pads, slow arps, gentle chord swells","Soothing anxiety, grounding in the body, rest rituals",1.0
PENT-VIRGO-1,Terra-Cura,Virgo,Earth,3-2-3-2-2,Mercury,The Refiner,"Clarity, discernment, quiet focus","Intricate motifs, pattern sequences, delicate lines",Mallets; muted plucks; light woodwinds,Square,Dalic,"Arpeggiators, detailed sequences, minimal melodic loops","Organizing, mental clarity, study focus, systems tuning",1.0
PENT-CAP-1,Terra-Monte,Capricorn,Earth,3-3-2-2-2,Saturn,The Architect,"Determination, patience, sober resolve","Bass ostinatos, structural lines, slow builds",Low woodwinds; plucked bass; muted brass,Square,Dygic,"Basslines, minimal techno frameworks, repetitive grooves","Goal-setting, discipline work, resilience rituals",1.0
PENT-GEM-1,Aero-Lume,Gemini,Air,2-2-1-4-3,Mercury,The Messenger,"Curiosity, verbal play, quick wit","Fast motifs, ornamentation, conversational phrases",Flutes; chimes; light synth arps,Triangle,Aerathic,"Arpeggiated leads, flickering motifs, call-and-response phrases","Brainstorming, writing, conversations, idea-generation",1.0
PENT-LIB-1,Aero-Harmon,Libra,Air,1-4-2-3-2,Venus,The Harmonizer,"Grace, relational ease, aesthetic balance","Smooth arcs, lyrical lines, balanced phrases",Harps; soft bells; airy pads,Triangle,Aerathic,"Ambient pads, romantic lines, harmony-supporting motifs","Restoring relational balance, apology/repair work, beauty rituals",1.0
PENT-AQU-1,Aero-Flux,Aquarius,Air,1-3-3-2-3,Uranus,The Futurist,"Eccentricity, insight, radical clarity","Modular patterns, glitch motifs, unexpected turns",FM synths; percussive bells; shimmering triangles,Triangle,Aeolic,"Experimental sequences, generative patterns, evolving motifs","Innovation work, future visioning, pattern-breaking rituals",1.0
PENT-CAN-1,Hydra-Mare,Cancer,Water,2-3-1-4-2,Moon,The Empath,"Tenderness, nostalgia, emotional safety","Soft melodic lines, lullaby phrases, intimate themes",Mallets; soft piano; glassy pads,Sine,Lothic,"Ambient emotional pads, delicate leads, lullaby textures","Inner child work, emotional processing, home/hearth rituals",1.0
PENT-SCOR-1,Hydra-Umbra,Scorpio,Water,3-2-4-1-2,"Pluto, Mars",The Depthwalker,"Intensity, magnetism, shadow exploration","Dark motifs, ritual drones, suspenseful figures",Sub-bass; low strings; bowed metals; dark synths,Sine,Saric,"Drones, low-register textures, tension-building motifs","Shadow work, transformation, death–rebirth rituals",1.0
PENT-PIS-1,Hydra-Vela,Pisces,Water,2-1-4-3-2,Neptune,The Dreamveil,"Compassion, imagination, surrender","Ethereal pads, floaty textures, dissolving motifs",Reverb-laden bells; airy flutes; soft sine leads,Sine,Lothic,"Meditation beds, sleep music, dissolving arps","Letting go, spiritual connection, dreamwork, liminal rituals",1.0
